clip_name,clip_path,source_video,split,lighting_final,condition_final,quality_final,clip_duration_sec,in_track_a,in_track_b,in_track_c
raw_video_001_clip_0000.mp4,clips/raw_video_001/raw_video_001_clip_0000.mp4,raw_video_001.mp4,train,day,clear,good,20.033,1,0,0
raw_video_001_clip_0001.mp4,clips/raw_video_001/raw_video_001_clip_0001.mp4,raw_video_001.mp4,train,day,clear,good,20.034,1,0,0
raw_video_001_clip_0002.mp4,clips/raw_video_001/raw_video_001_clip_0002.mp4,raw_video_001.mp4,train,day,clear,good,20.033,1,0,0
raw_video_001_clip_0003.mp4,clips/raw_video_001/raw_video_001_clip_0003.mp4,raw_video_001.mp4,train,day,clear,good,20.034,1,0,0
raw_video_001_clip_0004.mp4,clips/raw_video_001/raw_video_001_clip_0004.mp4,raw_video_001.mp4,train,day,clear,good,20.033,1,0,0
raw_video_001_clip_0005.mp4,clips/raw_video_001/raw_video_001_clip_0005.mp4,raw_video_001.mp4,train,day,clear,good,20.033,1,0,0
raw_video_002_clip_0000.mp4,clips/raw_video_002/raw_video_002_clip_0000.mp4,raw_video_002.mp4,train,day,clear,good,20.034,1,0,0
raw_video_002_clip_0001.mp4,clips/raw_video_002/raw_video_002_clip_0001.mp4,raw_video_002.mp4,train,day,clear,good,20.033,1,0,0
raw_video_002_clip_0002.mp4,clips/raw_video_002/raw_video_002_clip_0002.mp4,raw_video_002.mp4,train,day,clear,good,20.032,1,0,0
raw_video_002_clip_0003.mp4,clips/raw_video_002/raw_video_002_clip_0003.mp4,raw_video_002.mp4,train,day,clear,good,20.035,1,0,0
raw_video_002_clip_0004.mp4,clips/raw_video_002/raw_video_002_clip_0004.mp4,raw_video_002.mp4,train,day,clear,good,20.033,1,0,0
raw_video_002_clip_0005.mp4,clips/raw_video_002/raw_video_002_clip_0005.mp4,raw_video_002.mp4,train,day,clear,good,20.034,1,0,0
raw_video_002_clip_0006.mp4,clips/raw_video_002/raw_video_002_clip_0006.mp4,raw_video_002.mp4,train,day,clear,good,20.034,1,0,0
raw_video_002_clip_0007.mp4,clips/raw_video_002/raw_video_002_clip_0007.mp4,raw_video_002.mp4,train,day,clear,good,20.033,1,0,0
raw_video_002_clip_0008.mp4,clips/raw_video_002/raw_video_002_clip_0008.mp4,raw_video_002.mp4,train,day,clear,good,20.033,1,0,0
raw_video_002_clip_0009.mp4,clips/raw_video_002/raw_video_002_clip_0009.mp4,raw_video_002.mp4,train,day,clear,good,20.035,1,0,0
raw_video_002_clip_0010.mp4,clips/raw_video_002/raw_video_002_clip_0010.mp4,raw_video_002.mp4,train,day,clear,good,20.033,1,0,0
raw_video_002_clip_0011.mp4,clips/raw_video_002/raw_video_002_clip_0011.mp4,raw_video_002.mp4,train,day,clear,good,20.034,1,0,0
raw_video_002_clip_0012.mp4,clips/raw_video_002/raw_video_002_clip_0012.mp4,raw_video_002.mp4,train,day,clear,good,20.032,1,0,0
raw_video_002_clip_0013.mp4,clips/raw_video_002/raw_video_002_clip_0013.mp4,raw_video_002.mp4,train,day,clear,good,20.029,1,0,0
raw_video_002_clip_0014.mp4,clips/raw_video_002/raw_video_002_clip_0014.mp4,raw_video_002.mp4,train,day,clear,good,20.037,1,0,0
raw_video_002_clip_0015.mp4,clips/raw_video_002/raw_video_002_clip_0015.mp4,raw_video_002.mp4,train,day,clear,good,20.037,1,0,0
raw_video_002_clip_0016.mp4,clips/raw_video_002/raw_video_002_clip_0016.mp4,raw_video_002.mp4,train,day,clear,good,20.033,1,0,0
raw_video_002_clip_0018.mp4,clips/raw_video_002/raw_video_002_clip_0018.mp4,raw_video_002.mp4,train,day,clear,good,20.033,1,0,0
raw_video_002_clip_0019.mp4,clips/raw_video_002/raw_video_002_clip_0019.mp4,raw_video_002.mp4,train,day,clear,good,20.034,1,0,0
raw_video_002_clip_0020.mp4,clips/raw_video_002/raw_video_002_clip_0020.mp4,raw_video_002.mp4,train,day,clear,good,20.031,1,0,0
raw_video_002_clip_0021.mp4,clips/raw_video_002/raw_video_002_clip_0021.mp4,raw_video_002.mp4,train,day,clear,good,12.487,1,0,0
raw_video_003_clip_0000.mp4,clips/raw_video_003/raw_video_003_clip_0000.mp4,raw_video_003.mp4,train,day,clear,good,20.032,0,0,0
raw_video_003_clip_0001.mp4,clips/raw_video_003/raw_video_003_clip_0001.mp4,raw_video_003.mp4,train,day,clear,good,20.035,1,0,0
raw_video_003_clip_0002.mp4,clips/raw_video_003/raw_video_003_clip_0002.mp4,raw_video_003.mp4,train,day,clear,good,20.036,0,0,0
raw_video_003_clip_0003.mp4,clips/raw_video_003/raw_video_003_clip_0003.mp4,raw_video_003.mp4,train,day,clear,good,20.033,0,0,0
raw_video_003_clip_0004.mp4,clips/raw_video_003/raw_video_003_clip_0004.mp4,raw_video_003.mp4,train,day,clear,good,20.033,1,0,0
raw_video_003_clip_0005.mp4,clips/raw_video_003/raw_video_003_clip_0005.mp4,raw_video_003.mp4,train,day,clear,good,20.033,1,0,0
raw_video_003_clip_0006.mp4,clips/raw_video_003/raw_video_003_clip_0006.mp4,raw_video_003.mp4,train,day,clear,good,20.033,0,0,0
raw_video_003_clip_0007.mp4,clips/raw_video_003/raw_video_003_clip_0007.mp4,raw_video_003.mp4,train,day,clear,good,20.034,1,0,0
raw_video_003_clip_0008.mp4,clips/raw_video_003/raw_video_003_clip_0008.mp4,raw_video_003.mp4,train,day,clear,good,20.033,1,0,0
raw_video_003_clip_0009.mp4,clips/raw_video_003/raw_video_003_clip_0009.mp4,raw_video_003.mp4,train,day,clear,good,20.034,0,0,0
raw_video_003_clip_0010.mp4,clips/raw_video_003/raw_video_003_clip_0010.mp4,raw_video_003.mp4,train,day,clear,good,20.033,1,0,0
raw_video_003_clip_0011.mp4,clips/raw_video_003/raw_video_003_clip_0011.mp4,raw_video_003.mp4,train,day,clear,good,20.033,0,0,0
